Cancer Type,Sentence
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Start_Position > 76534876.0 AND Protein_position > 127.5 AND End_Position > 76876988.0 AND chr_16 is 0 AND inframe_deletion is 0 AND Hugo_Symbol > 5.5 AND chr_12 is 1 AND Diagnosis Age <= 77.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 77.0 AND Start_Position > 76534876.0 AND Protein_position > 127.5 AND End_Position > 76876988.0 AND chr_16 is 0 AND inframe_deletion is 0 AND Hugo_Symbol > 5.5 AND chr_12 is 1, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 422.5 AND Start_Position > 76534876.0 AND Protein_position > 127.5 AND End_Position > 76876988.0 AND chr_16 is 0 AND inframe_deletion is 1, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 422.5 AND Start_Position > 76534876.0 AND Protein_position > 127.5 AND End_Position > 76876988.0 AND chr_16 is 1, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Hugo_Symbol > 422.5 AND Variant_Type <= 1.0 AND Diagnosis Age <= 65.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 65.0 AND Hugo_Symbol > 422.5 AND Variant_Type <= 1.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons <= 1996.5 AND SNP_event <= 456.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons <= 1996.5 AND SNP_event > 456.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons <= 1996.5 AND SNP_event > 643.0 AND stop_gained is 0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND Diagnosis Age > 57.5 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons <= 1996.5 AND SNP_event > 643.0 AND stop_gained is 1 AND TMB (nonsynonymous) <= 0.21666666865348816, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.21666666865348816 AND Diagnosis Age > 57.5 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons <= 1996.5 AND SNP_event > 643.0 AND stop_gained is 1, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons > 1996.5 AND SNP_event <= 1530.0 AND Protein_position <= 155.5 AND Diagnosis Age <= 69.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons > 1996.5 AND SNP_event <= 1530.0 AND Diagnosis Age <= 69.0 AND Protein_position <= 210.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons > 1996.5 AND SNP_event <= 830.0 AND Diagnosis Age <= 69.0 AND Protein_position > 210.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons > 1996.5 AND Diagnosis Age <= 69.0 AND Protein_position > 210.5 AND SNP_event > 830.0, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 69.0 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons > 1996.5 AND SNP_event <= 1530.0 AND Protein_position <= 275.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons > 1996.5 AND SNP_event <= 1530.0 AND Protein_position > 275.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number <= 986.5 AND Codons > 1996.5 AND SNP_event > 1530.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol > 422.5 AND Variant_Type > 1.0 AND Exon_Number > 986.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If TMB (nonsynonymous) <= 0.2500000074505806 AND Smoke Status is 1 AND chr_13 is 1 AND SNP_event <= 1788.5 AND Diagnosis Age <= 52.0 AND Start_Position <= 38915654.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If TMB (nonsynonymous) <= 0.2500000074505806 AND Smoke Status is 1 AND chr_13 is 1 AND SNP_event <= 1788.5 AND Diagnosis Age <= 52.0 AND Start_Position > 38915654.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If TMB (nonsynonymous) <= 0.2500000074505806 AND Smoke Status is 1 AND chr_13 is 1 AND SNP_event <= 1788.5 AND Diagnosis Age > 52.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If TMB (nonsynonymous) <= 0.2500000074505806 AND Smoke Status is 1 AND chr_13 is 1 AND SNP_event > 1788.5 AND Exon_Number <= 264.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If TMB (nonsynonymous) <= 0.2500000074505806 AND Smoke Status is 1 AND chr_13 is 1 AND SNP_event > 1788.5 AND Exon_Number > 264.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age <= 50.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 50.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age <= 53.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 53.0, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 54.5 AND SNP_event <= 333.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND SNP_event > 333.5 AND Diagnosis Age <= 63.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND SNP_event > 333.5 AND End_Position <= 7577219.5 AND Diagnosis Age <= 65.0 AND Exon_Number <= 841.0 AND Start_Position <= 16521050.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND SNP_event > 333.5 AND Diagnosis Age <= 65.0 AND Exon_Number <= 841.0 AND Start_Position <= 16521050.0 AND End_Position > 7577219.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND SNP_event > 333.5 AND End_Position <= 57423570.0 AND Diagnosis Age <= 65.0 AND Exon_Number <= 841.0 AND Start_Position > 16521050.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND SNP_event > 333.5 AND End_Position <= 57423570.0 AND Diagnosis Age <= 65.0 AND Exon_Number > 841.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 65.0 AND SNP_event > 333.5 AND End_Position <= 57423570.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 63.5 AND SNP_event > 333.5 AND End_Position > 57423570.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 66.5 AND End_Position <= 122698024.0 AND chr_13 is 0 AND Protein_position <= 126.0 AND Start_Position <= 34498038.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 66.5 AND End_Position <= 122698024.0 AND chr_13 is 0 AND Protein_position <= 126.0 AND Start_Position > 34498038.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 66.5 AND End_Position <= 122698024.0 AND chr_13 is 0 AND Protein_position > 126.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 66.5 AND End_Position <= 122698024.0 AND chr_13 is 1, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 66.5 AND End_Position > 122698024.0 AND Hugo_Symbol <= 308.0, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 66.5 AND Hugo_Symbol > 308.0 AND End_Position <= 137465564.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 66.5 AND End_Position > 137465564.0 AND Hugo_Symbol > 308.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 68.0 AND Exon_Number <= 25.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 68.0 AND Exon_Number > 25.0 AND SNP_event <= 830.5 AND Hugo_Symbol <= 238.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 68.0 AND Exon_Number > 25.0 AND SNP_event <= 830.5 AND Hugo_Symbol > 238.0, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 68.0 AND Exon_Number > 25.0 AND SNP_event > 830.5 AND chr_11 is 0 AND chr_1 is 0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 68.0 AND Exon_Number > 25.0 AND SNP_event > 830.5 AND chr_11 is 0 AND chr_1 is 1 AND Start_Position <= 124096056.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 68.0 AND Exon_Number > 25.0 AND SNP_event > 830.5 AND chr_11 is 0 AND chr_1 is 1 AND Start_Position > 124096056.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 68.0 AND Exon_Number > 25.0 AND SNP_event > 830.5 AND chr_11 is 1, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age > 69.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 54.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 57.5 AND Protein_position <= 1239.5 AND chr_14 is 0 AND Hugo_Symbol <= 409.0 AND Start_Position <= 133182040.0 AND chr_1 is 0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 57.5 AND Protein_position <= 1239.5 AND chr_14 is 0 AND Hugo_Symbol <= 231.5 AND Start_Position <= 133182040.0 AND chr_1 is 1, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 57.5 AND Protein_position <= 1239.5 AND chr_14 is 0 AND Start_Position <= 133182040.0 AND chr_1 is 1 AND Hugo_Symbol > 231.5, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 57.5 AND Protein_position <= 1239.5 AND chr_14 is 0 AND Hugo_Symbol <= 409.0 AND Start_Position > 133182040.0 AND End_Position <= 140492256.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 57.5 AND Protein_position <= 1239.5 AND chr_14 is 0 AND Hugo_Symbol <= 409.0 AND Start_Position > 133182040.0 AND End_Position > 140492256.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 56.0 AND Protein_position <= 1239.5 AND chr_14 is 0 AND Hugo_Symbol > 409.0 AND Codons <= 2079.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 56.0 AND Protein_position <= 1239.5 AND chr_14 is 0 AND Hugo_Symbol > 409.0 AND Codons > 2079.5, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Protein_position <= 1239.5 AND chr_14 is 0 AND Hugo_Symbol > 409.0 AND Diagnosis Age > 56.0, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 57.5 AND Protein_position <= 1239.5 AND chr_14 is 1, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 57.5 AND Protein_position > 1239.5 AND Exon_Number <= 1352.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 57.5 AND Protein_position > 1239.5 AND Exon_Number > 1352.5 AND SNP_event <= 832.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age <= 57.5 AND Protein_position > 1239.5 AND Exon_Number > 1352.5 AND SNP_event > 832.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3166666775941849 AND Diagnosis Age > 57.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND Diagnosis Age <= 42.5 AND TMB (nonsynonymous) <= 0.3500000089406967, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3500000089406967 AND Diagnosis Age <= 44.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3500000089406967 AND Diagnosis Age > 44.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3500000089406967 AND Diagnosis Age > 45.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3500000089406967 AND Diagnosis Age > 48.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3500000089406967 AND Diagnosis Age <= 58.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) <= 0.3500000089406967 AND Diagnosis Age > 58.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND Diagnosis Age <= 57.5 AND TMB (nonsynonymous) > 0.3500000089406967 AND Sex is 0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND Diagnosis Age <= 32.5 AND TMB (nonsynonymous) > 0.3500000089406967 AND Sex is 1, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) > 0.3500000089406967 AND Sex is 1 AND Diagnosis Age > 32.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) > 0.3500000089406967 AND Sex is 1 AND Diagnosis Age > 39.5 AND End_Position <= 176997328.0 AND chr_7 is 0 AND Protein_position <= 292.0 AND SNP_event <= 643.0 AND Hugo_Symbol <= 119.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) > 0.3500000089406967 AND Sex is 1 AND Diagnosis Age > 39.5 AND End_Position <= 176997328.0 AND chr_7 is 0 AND Protein_position <= 292.0 AND SNP_event <= 643.0 AND Hugo_Symbol > 119.0, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) > 0.3500000089406967 AND Sex is 1 AND End_Position <= 7577320.5 AND chr_7 is 0 AND Protein_position <= 292.0 AND SNP_event > 643.0 AND Diagnosis Age <= 55.5 AND chr_6 is 0 AND Codons <= 2819.5 AND Start_Position <= 7578224.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) > 0.3500000089406967 AND Sex is 1 AND chr_7 is 0 AND Protein_position <= 292.0 AND SNP_event > 643.0 AND Diagnosis Age <= 55.5 AND chr_6 is 0 AND Codons <= 1301.0 AND Start_Position <= 7578224.5 AND End_Position > 7577320.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) > 0.3500000089406967 AND Sex is 1 AND chr_7 is 0 AND Protein_position <= 292.0 AND SNP_event > 643.0 AND Diagnosis Age <= 55.5 AND chr_6 is 0 AND Start_Position <= 7578224.5 AND End_Position > 7577320.5 AND Codons > 1301.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If TMB (nonsynonymous) > 0.3500000089406967 AND Sex is 1 AND chr_7 is 0 AND Protein_position <= 292.0 AND SNP_event > 643.0 AND Diagnosis Age <= 55.5 AND chr_6 is 0 AND Start_Position <= 7578224.5 AND End_Position > 7577320.5 AND Codons > 1301.0 AND Smoke Status is 1, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status <= 1.5 AND TMB (nonsynonymous) > 0.3500000089406967 AND Sex is 1 AND End_Position <= 176997328.0 AND chr_7 is 0 AND Protein_position <= 292.0 AND SNP_event > 643.0 AND Diagnosis Age <= 55.5 AND chr_6 is 0 AND Codons <= 2819.5 AND Start_Position > 7578224.5, then the class is Small Cell Lung Cancer."
